date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,item_name_index,item_type_index,transaction_type_index,received_by_index,time_of_sale_index
5/21/2022,Frankie,Beverages,25,12,611,Online,Mr.,Midnight,4.0,1.0,1.0,0.0,0.0
04-09-2022,Frankie,Fastfood,50,11,393,Cash,Mr.,Night,4.0,0.0,0.0,0.0,1.0
8/22/2022,Cold coffee,Beverages,20,4,149,Online,Mrs.,Morning,0.0,1.0,1.0,1.0,4.0
5/22/2022,Aalopuri,Fastfood,20,6,148,Cash,Mrs.,Evening,3.0,0.0,0.0,1.0,3.0
05-09-2022,Sandwich,Fastfood,20,7,349,Online,Mrs.,Night,6.0,0.0,1.0,1.0,1.0
11/13/2022,Frankie,Fastfood,20,7,123,Cash,Mrs.,Night,4.0,0.0,0.0,1.0,1.0
11-08-2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Midnight,2.0,0.0,0.0,1.0,0.0
08-09-2022,Aalopuri,Fastfood,20,12,191,Cash,Mrs.,Afternoon,3.0,0.0,0.0,1.0,2.0
3/13/2023,Panipuri,Beverages,25,10,224,Cash,Mr.,Midnight,2.0,1.0,0.0,0.0,0.0
5/27/2022,Sandwich,Fastfood,50,2,59,Online,Mr.,Night,6.0,0.0,1.0,0.0,1.0
12/22/2022,Panipuri,Fastfood,20,12,343,Online,Mr.,Evening,2.0,0.0,1.0,0.0,3.0
07-03-2022,Aalopuri,Fastfood,20,2,43,Cash,Mrs.,Evening,3.0,0.0,0.0,1.0,3.0
8/25/2022,Sugarcane juice,Fastfood,50,13,446,Online,Mrs.,Midnight,1.0,0.0,1.0,1.0,0.0
10/26/2022,Sugarcane juice,Fastfood,20,10,381,Online,Mrs.,Afternoon,1.0,0.0,1.0,1.0,2.0
03-01-2023,Aalopuri,Fastfood,20,5,96,Cash,Mrs.,Midnight,3.0,0.0,0.0,1.0,0.0
2/23/2023,Panipuri,Fastfood,40,12,246,Cash,Mrs.,Morning,2.0,0.0,0.0,1.0,4.0
11/28/2022,Sandwich,Beverages,60,1,36,Online,Mr.,Midnight,6.0,1.0,1.0,0.0,0.0
11/23/2022,Cold coffee,Beverages,60,14,471,Online,Mrs.,Afternoon,0.0,1.0,1.0,1.0,2.0
6/17/2022,Frankie,Beverages,50,4,182,Online,Mrs.,Afternoon,4.0,1.0,1.0,1.0,2.0
5/16/2022,Frankie,Fastfood,25,7,157,Online,Mrs.,Midnight,4.0,0.0,1.0,1.0,0.0
2/16/2023,Vadapav,Fastfood,25,11,244,Cash,Mrs.,Midnight,5.0,0.0,0.0,1.0,0.0
03-02-2023,Vadapav,Fastfood,20,1,52,Online,Mrs.,Night,5.0,0.0,1.0,1.0,1.0
1/13/2023,Sugarcane juice,Beverages,20,10,377,Cash,Mrs.,Evening,1.0,1.0,0.0,1.0,3.0
05-09-2022,Cold coffee,Beverages,60,7,303,Online,Mrs.,Morning,0.0,1.0,1.0,1.0,4.0
07-02-2022,Frankie,Fastfood,60,7,193,Cash,Mr.,Evening,4.0,0.0,0.0,0.0,3.0
2/27/2023,Sugarcane juice,Beverages,60,12,533,Cash,Mr.,Night,1.0,1.0,0.0,0.0,1.0
09-05-2022,Frankie,Beverages,40,2,294,Online,Mr.,Morning,4.0,1.0,1.0,0.0,4.0
1/21/2023,Aalopuri,Fastfood,25,11,162,Cash,Mr.,Night,3.0,0.0,0.0,0.0,1.0
9/21/2022,Sandwich,Fastfood,40,4,97,Online,Mr.,Night,6.0,0.0,1.0,0.0,1.0
6/18/2022,Frankie,Fastfood,50,7,134,Cash,Mrs.,Morning,4.0,0.0,0.0,1.0,4.0
05-03-2022,Cold coffee,Beverages,40,10,161,Cash,Mr.,Night,0.0,1.0,0.0,0.0,1.0
09-05-2022,Aalopuri,Fastfood,20,1,29,Online,Mrs.,Midnight,3.0,0.0,1.0,1.0,0.0
8/22/2022,Sugarcane juice,Fastfood,25,12,357,Cash,Mrs.,Morning,1.0,0.0,0.0,1.0,4.0
