date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
8/23/2022,Vadapav,Fastfood,20,15,300,Cash,Mr.,Afternoon
11/20/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Afternoon
02-03-2023,Sugarcane juice,Beverages,25,6,150,Online,Mr.,Night
10-02-2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Evening
11/14/2022,Vadapav,Fastfood,20,10,200,Cash,Mr.,Evening
05-03-2022,Sugarcane juice,Beverages,25,9,225,Cash,Mr.,Evening
12/22/2022,Panipuri,Fastfood,20,14,280,Online,Mr.,Night
06-10-2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Morning
9/16/2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon
12-01-2022,Frankie,Fastfood,50,8,400,Online,Mrs.,Afternoon
07-12-2022,Vadapav,Fastfood,20,8,160,Online,Mrs.,Night
12/22/2022,Panipuri,Fastfood,20,9,180,Online,Mrs.,Afternoon
11/25/2022,Frankie,Fastfood,50,4,200,Online,Mr.,Morning
02-03-2023,Aalopuri,Fastfood,20,3,60,Cash,Mrs.,Evening
10/16/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Morning
11-05-2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Night
8/22/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Night
9/15/2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Night
12/21/2022,Cold coffee,Beverages,40,15,600,Cash,Mr.,Evening
10-04-2022,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Evening
5/26/2022,Sandwich,Fastfood,60,3,180,Online,Mr.,Midnight
02-11-2023,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Afternoon
8/31/2022,Sandwich,Fastfood,60,1,60,Online,Mrs.,Evening
8/18/2022,Sugarcane juice,Beverages,25,4,100,Cash,Mr.,Afternoon
10-12-2022,Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon
01-06-2023,Cold coffee,Beverages,40,10,400,Online,Mrs.,Afternoon
02-10-2023,Sugarcane juice,Beverages,25,9,225,Online,Mr.,Afternoon
1/28/2023,Frankie,Fastfood,50,2,100,Cash,Mrs.,Night
9/14/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Evening
02-05-2023,Aalopuri,Fastfood,20,13,260,Online,Mr.,Night
02-04-2023,Frankie,Fastfood,50,12,600,Online,Mrs.,Evening
5/22/2022,Vadapav,Fastfood,20,8,160,Cash,Mr.,Morning
07-02-2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Afternoon
01-05-2023,Frankie,Fastfood,50,10,500,Cash,Mr.,Night
03-08-2023,Panipuri,Fastfood,20,12,240,Online,Mrs.,Night
5/14/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Evening
02-05-2023,Sandwich,Fastfood,60,5,300,Online,Mrs.,Night
05-09-2022,Aalopuri,Fastfood,20,8,160,Online,Mrs.,Night
5/26/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Night
8/28/2022,Cold coffee,Beverages,40,12,480,Cash,Mr.,Evening
8/15/2022,Sugarcane juice,Beverages,25,6,150,Cash,Mrs.,Afternoon
05-07-2022,Vadapav,Fastfood,20,7,140,Cash,Mr.,Evening
11-06-2022,Frankie,Fastfood,50,4,200,Online,Mrs.,Morning
11-02-2022,Vadapav,Fastfood,20,8,160,Cash,Mrs.,Midnight
5/16/2022,Frankie,Fastfood,50,15,750,Online,Mrs.,Morning
3/16/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight
7/26/2022,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Afternoon
12/28/2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning
05-07-2022,Sandwich,Fastfood,60,10,600,Cash,Mr.,Night
11/23/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Midnight
08-04-2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning
02-03-2023,Vadapav,Fastfood,20,6,120,Online,Mrs.,Morning
07-01-2022,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning
06-11-2022,Cold coffee,Beverages,40,2,80,Online,Mr.,Night
12/25/2022,Vadapav,Fastfood,20,14,280,Cash,Mrs.,Afternoon
10/17/2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Afternoon
12-01-2022,Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning
12-09-2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Morning
7/25/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning
04-05-2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Morning
5/15/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Midnight
01-10-2023,Vadapav,Fastfood,20,7,140,Cash,Mr.,Midnight
12-05-2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Night
03-09-2023,Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon
7/29/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Midnight
8/15/2022,Cold coffee,Beverages,40,10,400,Online,Mrs.,Evening
02-02-2023,Cold coffee,Beverages,40,6,240,Online,Mrs.,Afternoon
8/17/2022,Vadapav,Fastfood,20,9,180,Online,Mr.,Morning
02-04-2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight
10-01-2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Evening
11-05-2022,Panipuri,Fastfood,20,6,120,Online,Mr.,Night
5/24/2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Evening
11/19/2022,Frankie,Fastfood,50,12,600,Online,Mrs.,Night
7/17/2022,Frankie,Fastfood,50,3,150,Online,Mrs.,Evening
03-03-2023,Panipuri,Fastfood,20,13,260,Cash,Mr.,Midnight
8/19/2022,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Night
03-09-2023,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Morning
5/29/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Night
07-07-2022,Cold coffee,Beverages,40,10,400,Cash,Mr.,Evening
12/23/2022,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Evening
10/29/2022,Vadapav,Fastfood,20,15,300,Online,Mr.,Night
5/13/2022,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Afternoon
07-03-2022,Cold coffee,Beverages,40,2,80,Online,Mrs.,Midnight
05-12-2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Night
3/29/2023,Cold coffee,Beverages,40,13,520,Online,Mr.,Evening
12/24/2022,Vadapav,Fastfood,20,1,20,Online,Mr.,Morning
09-11-2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Evening
3/26/2023,Vadapav,Fastfood,20,3,60,Online,Mrs.,Morning
3/13/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Morning
3/14/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Midnight
10/27/2022,Cold coffee,Beverages,40,13,520,Online,Mr.,Morning
1/25/2023,Panipuri,Fastfood,20,8,160,Cash,Mrs.,Evening
2/25/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening
02-07-2023,Sandwich,Fastfood,60,4,240,Online,Mr.,Afternoon
08-06-2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon
11/16/2022,Panipuri,Fastfood,20,2,40,Online,Mrs.,Morning
09-04-2022,Sandwich,Fastfood,60,8,480,Cash,Mrs.,Midnight
2/24/2023,Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning
12-12-2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon
8/14/2022,Aalopuri,Fastfood,20,10,200,Online,Mr.,Afternoon
